source_asset,destination_asset,relationship,access_type
A088,A079,depends_on,Internal
A034,A106,accesses,HTTPS
A024,A110,depends_on,TCP
A088,A042,trust_relationship,IAM
A047,A041,accesses,HTTPS
A033,A149,connects_to,API
A110,A078,accesses,IAM
A122,A127,depends_on,HTTPS
A101,A118,connects_to,API
A005,A065,accesses,IAM
A021,A080,accesses,API
A011,A129,accesses,Internal
A106,A026,trust_relationship,IAM
A013,A059,connects_to,Internal
A020,A144,accesses,TCP
A127,A059,accesses,Internal
A099,A017,connects_to,API
A134,A128,depends_on,HTTPS
A103,A126,depends_on,IAM
A066,A113,depends_on,Internal
A116,A065,accesses,TCP
A082,A017,depends_on,IAM
A133,A134,connects_to,API
A063,A080,depends_on,HTTPS
A041,A018,connects_to,HTTPS
A030,A141,accesses,HTTPS
A068,A116,accesses,Internal
A127,A079,depends_on,Internal
A075,A005,accesses,TCP
A012,A123,connects_to,HTTPS
A120,A091,depends_on,Internal
A083,A049,trust_relationship,HTTPS
A124,A031,trust_relationship,API
A093,A037,accesses,IAM
A022,A072,accesses,API
A128,A113,accesses,IAM
A116,A055,connects_to,Internal
A058,A078,trust_relationship,IAM
A149,A021,trust_relationship,HTTPS
A068,A133,trust_relationship,IAM
A075,A027,connects_to,Internal
A075,A095,accesses,HTTPS
A070,A022,depends_on,HTTPS
A081,A087,depends_on,TCP
A143,A012,trust_relationship,IAM
A108,A023,accesses,HTTPS
A045,A129,accesses,HTTPS
A078,A008,accesses,API
A048,A016,depends_on,Internal
A049,A011,accesses,HTTPS
A147,A106,accesses,API
A141,A005,connects_to,API
A107,A096,accesses,API
A113,A005,accesses,Internal
A023,A105,depends_on,Internal
A122,A101,depends_on,Internal
A102,A143,trust_relationship,Internal
A061,A027,accesses,HTTPS
A079,A033,accesses,API
A020,A085,accesses,IAM
A008,A016,trust_relationship,HTTPS
A026,A060,accesses,TCP
A016,A038,connects_to,Internal
A066,A091,accesses,TCP
A087,A126,depends_on,IAM
A148,A109,trust_relationship,Internal
A011,A046,trust_relationship,API
A003,A128,depends_on,HTTPS
A111,A120,accesses,TCP
A106,A090,accesses,Internal
A064,A017,accesses,IAM
A145,A011,trust_relationship,HTTPS
A128,A142,depends_on,Internal
A096,A016,depends_on,Internal
A147,A023,connects_to,TCP
A143,A015,connects_to,Internal
A015,A037,accesses,API
A004,A079,connects_to,HTTPS
A083,A071,trust_relationship,HTTPS
A078,A035,connects_to,API
A096,A015,connects_to,IAM
A059,A011,connects_to,TCP
A135,A061,connects_to,API
A069,A083,depends_on,IAM
A066,A035,accesses,TCP
A063,A074,depends_on,HTTPS
A005,A100,accesses,HTTPS
A044,A139,trust_relationship,API
A036,A074,trust_relationship,Internal
A140,A003,connects_to,TCP
A114,A029,connects_to,API
A121,A110,accesses,Internal
A066,A103,trust_relationship,IAM
A035,A117,connects_to,Internal
A062,A006,connects_to,IAM
A008,A004,trust_relationship,HTTPS
A067,A119,trust_relationship,Internal
A018,A040,trust_relationship,HTTPS
A143,A088,connects_to,API
A075,A077,depends_on,HTTPS
A137,A058,trust_relationship,TCP
A120,A109,connects_to,TCP
A021,A011,trust_relationship,Internal
A072,A130,connects_to,Internal
A134,A112,accesses,TCP
A081,A145,trust_relationship,IAM
A023,A133,depends_on,HTTPS
A142,A044,trust_relationship,API
A005,A061,connects_to,TCP
A142,A009,connects_to,Internal
A009,A031,trust_relationship,Internal
A026,A085,trust_relationship,HTTPS
A056,A010,trust_relationship,TCP
A082,A087,accesses,TCP
A064,A144,connects_to,IAM
A002,A097,connects_to,HTTPS
A142,A099,trust_relationship,Internal
A027,A073,accesses,Internal
A089,A001,accesses,TCP
A031,A136,trust_relationship,API
A122,A114,connects_to,Internal
A044,A008,connects_to,TCP
A067,A088,accesses,HTTPS
A121,A003,trust_relationship,HTTPS
A005,A138,accesses,Internal
A054,A068,accesses,HTTPS
A014,A028,accesses,IAM
A112,A114,accesses,HTTPS
A145,A082,depends_on,Internal
A078,A016,trust_relationship,API
A009,A003,trust_relationship,API
A016,A055,trust_relationship,API
A040,A135,trust_relationship,API
A033,A039,trust_relationship,Internal
A096,A112,depends_on,Internal
A015,A068,connects_to,Internal
A092,A132,trust_relationship,HTTPS
A084,A003,connects_to,TCP
A118,A029,depends_on,TCP
A087,A136,depends_on,TCP
A012,A001,trust_relationship,IAM
A065,A121,depends_on,Internal
A148,A127,trust_relationship,TCP
A074,A065,depends_on,IAM
A004,A024,accesses,HTTPS
A100,A099,accesses,IAM
A043,A103,connects_to,HTTPS
A045,A123,trust_relationship,Internal
A081,A145,connects_to,HTTPS
A025,A120,connects_to,API
A133,A025,trust_relationship,TCP
A071,A118,connects_to,IAM
A147,A021,trust_relationship,Internal
A057,A033,accesses,API
A101,A009,depends_on,API
A076,A075,connects_to,TCP
A032,A055,trust_relationship,API
A049,A050,accesses,IAM
A127,A053,accesses,HTTPS
A011,A026,connects_to,HTTPS
A077,A098,trust_relationship,Internal
A131,A047,accesses,TCP
A109,A124,trust_relationship,IAM
A074,A150,depends_on,HTTPS
A015,A140,accesses,TCP
A091,A047,depends_on,TCP
A135,A016,depends_on,API
A006,A024,accesses,IAM
A137,A081,connects_to,IAM
A053,A127,depends_on,API
A093,A014,connects_to,IAM
A075,A074,accesses,HTTPS
A064,A025,accesses,TCP
A101,A034,connects_to,TCP
A013,A017,connects_to,TCP
A146,A031,trust_relationship,API
A005,A080,depends_on,IAM
A085,A023,accesses,TCP
A108,A019,connects_to,IAM
A103,A142,accesses,API
A143,A087,trust_relationship,API
A037,A023,depends_on,HTTPS
A028,A021,depends_on,API
A123,A011,depends_on,IAM
A116,A113,connects_to,Internal
A044,A129,accesses,API
A091,A006,trust_relationship,TCP
A085,A041,accesses,API
A034,A077,connects_to,TCP
A127,A106,trust_relationship,Internal
A126,A005,accesses,API
A105,A118,connects_to,Internal
A029,A040,depends_on,TCP
A112,A091,depends_on,IAM
A070,A121,accesses,TCP
A143,A131,trust_relationship,HTTPS
A118,A057,accesses,TCP
A015,A032,connects_to,TCP
A054,A129,connects_to,TCP
A028,A071,connects_to,HTTPS
A026,A052,trust_relationship,IAM
A150,A143,accesses,TCP
A086,A017,depends_on,API
A067,A045,trust_relationship,TCP
A065,A006,depends_on,API
A042,A024,trust_relationship,HTTPS
A057,A146,trust_relationship,Internal
A091,A025,accesses,Internal
A036,A061,accesses,API
A048,A009,depends_on,Internal
A124,A110,depends_on,IAM
A137,A006,trust_relationship,Internal
A080,A145,connects_to,IAM
A001,A111,trust_relationship,HTTPS
A010,A036,depends_on,TCP
A052,A027,accesses,IAM
A047,A023,trust_relationship,API
A136,A001,depends_on,TCP
A110,A002,trust_relationship,Internal
A069,A018,trust_relationship,API
A041,A098,connects_to,TCP
A089,A125,accesses,HTTPS
A105,A094,trust_relationship,HTTPS
A095,A067,trust_relationship,Internal
A012,A034,trust_relationship,Internal
A063,A111,trust_relationship,IAM
A101,A015,trust_relationship,HTTPS
A039,A018,trust_relationship,IAM
A121,A036,accesses,API
A098,A139,connects_to,Internal
A120,A137,connects_to,TCP
A048,A136,connects_to,API
A105,A067,trust_relationship,Internal
A075,A065,connects_to,API
A064,A122,trust_relationship,IAM
A017,A077,depends_on,HTTPS
A058,A079,connects_to,IAM
A055,A080,accesses,IAM
A026,A115,connects_to,TCP
A103,A013,connects_to,Internal
A117,A078,trust_relationship,TCP
A037,A034,depends_on,API
A130,A111,accesses,IAM
A064,A094,connects_to,TCP
A081,A068,accesses,IAM
A081,A099,connects_to,Internal
A074,A114,connects_to,IAM
A112,A037,depends_on,IAM
A071,A068,accesses,HTTPS
A033,A007,trust_relationship,Internal
