control_id,asset_id,status,coverage,maturity,last_assessed
C001,A001,Active,0.26,Developing,2026-04-20
C002,A001,Planned,0.47,Defined,2026-02-28
C003,A001,Active,0.3,Defined,2026-04-16
C004,A001,Active,0.6,Developing,2026-08-16
C005,A001,Active,0.67,Defined,2026-01-01
C006,A001,Active,0.5,Managed,2025-10-03
C009,A001,Planned,0.76,Defined,2026-04-26
C010,A001,Partial,0.79,Managed,2026-03-17
C001,A002,Active,0.45,Initial,2026-05-30
C003,A002,Planned,0.87,Developing,2026-06-26
C004,A002,Partial,0.54,Managed,2026-08-29
C005,A002,Inactive,0.64,Developing,2026-07-06
C006,A002,Planned,0.45,Developing,2026-01-28
C009,A002,Active,0.54,Managed,2025-10-25
C010,A002,Partial,0.33,Defined,2025-11-10
C001,A003,Active,0.69,Developing,2026-05-02
C002,A003,Planned,0.55,Defined,2025-10-14
C003,A003,Planned,0.95,Managed,2025-11-09
C004,A003,Partial,0.99,Defined,2025-11-21
C005,A003,Planned,0.93,Defined,2026-08-11
C006,A003,Planned,0.38,Managed,2026-08-05
C008,A003,Partial,0.86,Developing,2026-07-19
C009,A003,Active,0.54,Defined,2026-01-04
C010,A003,Partial,0.79,Defined,2026-01-12
C001,A004,Active,0.29,Managed,2025-10-26
C002,A004,Active,0.6,Developing,2025-12-23
C003,A004,Active,0.62,Managed,2025-10-29
C004,A004,Active,0.47,Defined,2025-10-04
C005,A004,Active,0.47,Defined,2026-05-22
C006,A004,Active,0.39,Managed,2026-01-24
C009,A004,Partial,0.87,Developing,2025-11-24
C010,A004,Active,0.28,Defined,2025-11-22
C001,A005,Active,0.86,Developing,2026-01-30
C002,A005,Partial,0.45,Developing,2026-03-09
C003,A005,Partial,0.72,Developing,2026-08-19
C004,A005,Partial,0.45,Developing,2026-05-22
C005,A005,Partial,0.3,Managed,2026-08-28
C006,A005,Active,0.61,Initial,2025-10-29
C007,A005,Active,0.58,Initial,2025-12-08
C009,A005,Active,0.3,Defined,2026-03-16
C010,A005,Active,0.62,Managed,2026-04-16
C001,A006,Partial,0.26,Initial,2026-02-01
C003,A006,Partial,0.35,Developing,2026-05-24
C004,A006,Active,0.28,Developing,2026-04-27
C005,A006,Active,0.8,Defined,2026-08-21
C006,A006,Planned,0.48,Managed,2026-08-08
C009,A006,Active,0.91,Managed,2026-03-30
C010,A006,Partial,0.49,Defined,2026-03-25
C001,A007,Active,0.5,Defined,2026-08-03
C002,A007,Inactive,0.83,Developing,2026-03-27
C003,A007,Partial,0.87,Managed,2025-12-18
C004,A007,Partial,0.77,Initial,2026-08-22
C005,A007,Active,0.94,Defined,2026-05-16
C006,A007,Active,1.0,Developing,2026-04-10
C008,A007,Active,0.97,Managed,2025-12-03
C009,A007,Inactive,0.89,Defined,2026-07-06
C010,A007,Partial,0.8,Developing,2025-10-05
C001,A008,Partial,0.44,Developing,2026-05-20
C002,A008,Partial,0.69,Developing,2026-05-29
C003,A008,Active,0.69,Managed,2026-07-12
