vulnerability_id,asset_id,cve_id,cvss_score,severity,exploitability,known_exploited,first_seen,days_open,patch_available
V0001,A110,CVE-2023-27527,9.1,Critical,0.24,False,2024-10-10,153,True
V0002,A033,CVE-2024-54888,6.5,High,0.41,False,2024-06-09,204,True
V0003,A108,CVE-2025-76732,8.3,Critical,0.89,False,2024-03-31,149,False
V0004,A023,CVE-2026-76723,4.8,Medium,0.66,False,2026-02-20,383,False
V0005,A123,CVE-2023-9300,6.1,High,0.73,False,2025-04-23,406,False
V0006,A075,CVE-2024-84256,5.5,Medium,0.37,True,2024-06-19,298,True
V0007,A125,CVE-2025-65189,5.0,Medium,0.29,False,2026-01-05,343,True
V0008,A112,CVE-2026-22902,7.1,High,0.13,True,2024-02-13,278,False
V0009,A075,CVE-2023-77645,6.1,High,0.24,False,2024-09-04,245,True
V0010,A065,CVE-2024-1771,4.8,Medium,0.27,False,2024-04-02,160,False
V0011,A084,CVE-2025-84066,4.7,Medium,0.21,False,2024-06-22,153,True
V0012,A080,CVE-2026-55838,9.4,Critical,0.15,False,2024-01-03,251,False
V0013,A024,CVE-2023-82816,9.6,Critical,0.59,False,2026-07-14,130,True
V0014,A061,CVE-2024-16252,9.9,Critical,0.86,False,2025-11-22,358,True
V0015,A021,CVE-2025-67896,4.7,Medium,0.4,False,2024-10-13,125,True
V0016,A010,CVE-2026-65313,8.3,Critical,0.71,False,2025-08-12,178,True
V0017,A139,CVE-2023-28292,9.7,Critical,0.24,True,2025-02-28,34,True
V0018,A119,CVE-2024-76434,5.6,Medium,0.76,False,2026-07-21,312,True
V0019,A141,CVE-2025-18023,7.2,High,0.38,False,2024-02-03,280,True
V0020,A121,CVE-2026-25443,8.2,Critical,0.7,False,2025-06-14,48,True
V0021,A011,CVE-2023-51588,6.1,High,0.41,True,2024-03-22,310,True
V0022,A082,CVE-2024-36915,4.9,Medium,0.21,False,2026-03-13,9,True
V0023,A021,CVE-2025-86751,9.8,Critical,0.43,False,2024-11-05,111,True
V0024,A051,CVE-2026-80266,4.6,Medium,0.13,False,2026-05-01,257,True
V0025,A140,CVE-2023-7913,5.2,Medium,0.88,False,2025-12-17,257,True
V0026,A055,CVE-2024-90321,8.6,Critical,0.33,False,2024-06-01,42,True
V0027,A007,CVE-2025-36121,6.4,High,0.92,False,2025-07-27,48,True
V0028,A042,CVE-2026-23242,5.6,Medium,0.24,False,2026-08-05,200,True
V0029,A044,CVE-2023-8795,5.1,Medium,0.92,False,2024-09-26,266,True
V0030,A082,CVE-2024-7157,8.0,High,0.3,False,2024-08-25,224,True
V0031,A130,CVE-2025-97605,9.4,Critical,0.2,False,2025-09-26,174,False
V0032,A055,CVE-2026-4308,8.1,Critical,0.66,False,2025-03-22,28,True
V0033,A069,CVE-2023-11290,9.1,Critical,0.12,False,2025-12-19,372,True
V0034,A067,CVE-2024-14784,6.4,High,0.75,False,2026-07-27,179,True
V0035,A065,CVE-2025-33669,9.6,Critical,0.73,False,2024-06-12,59,True
V0036,A030,CVE-2026-31808,5.8,Medium,0.51,False,2025-08-10,115,True
V0037,A056,CVE-2023-11472,6.6,High,0.43,False,2026-07-28,416,True
V0038,A055,CVE-2024-46450,4.2,Medium,0.21,False,2026-01-17,229,True
V0039,A144,CVE-2025-89377,6.3,High,0.46,False,2026-02-04,395,True
V0040,A095,CVE-2026-35412,9.3,Critical,0.63,False,2026-01-18,317,False
V0041,A117,CVE-2023-49141,7.0,High,0.51,False,2024-05-20,188,False
V0042,A115,CVE-2024-36877,9.5,Critical,0.65,False,2024-01-08,357,False
V0043,A088,CVE-2025-76900,8.7,Critical,0.62,False,2024-07-10,30,False
V0044,A081,CVE-2026-89137,6.0,Medium,0.34,False,2025-01-14,261,True
V0045,A029,CVE-2023-49237,7.8,High,0.54,True,2026-08-03,207,True
V0046,A127,CVE-2024-25424,5.2,Medium,0.83,False,2026-03-07,70,True
V0047,A070,CVE-2025-21506,9.6,Critical,0.6,False,2024-02-04,117,True
V0048,A052,CVE-2026-66251,9.3,Critical,0.8,False,2026-02-04,211,True
V0049,A124,CVE-2023-69464,8.7,Critical,0.83,False,2026-05-17,341,True
V0050,A030,CVE-2024-38545,6.5,High,0.68,False,2024-05-02,310,True
V0051,A003,CVE-2025-46218,6.9,High,0.52,True,2025-07-15,40,True
V0052,A050,CVE-2026-30164,4.8,Medium,0.81,False,2024-02-27,226,True
V0053,A060,CVE-2023-21775,4.5,Medium,0.31,True,2024-09-29,273,True
V0054,A106,CVE-2024-57863,5.7,Medium,0.57,False,2024-12-23,64,True
V0055,A073,CVE-2025-27885,9.0,Critical,0.72,False,2025-01-02,94,True
V0056,A138,CVE-2026-55488,9.7,Critical,0.85,False,2026-01-01,298,False
V0057,A045,CVE-2023-7661,7.4,High,0.66,False,2026-01-07,338,False
V0058,A092,CVE-2024-39621,5.6,Medium,0.23,False,2024-07-24,32,True
V0059,A108,CVE-2025-26064,5.3,Medium,0.55,False,2024-06-19,20,False
V0060,A083,CVE-2026-43727,5.2,Medium,0.67,False,2025-04-25,312,True
V0061,A099,CVE-2023-11775,5.3,Medium,0.72,False,2024-03-28,161,True
V0062,A008,CVE-2024-98539,4.3,Medium,0.54,False,2025-09-26,23,True
V0063,A078,CVE-2025-49840,7.1,High,0.59,False,2025-10-10,325,True
V0064,A060,CVE-2026-69117,5.7,Medium,0.35,False,2024-05-03,418,True
V0065,A018,CVE-2023-15504,9.1,Critical,0.61,False,2026-01-05,44,True
V0066,A127,CVE-2024-34467,7.1,High,0.66,False,2025-08-16,29,True
V0067,A129,CVE-2025-87111,9.4,Critical,0.23,False,2026-02-11,194,True
V0068,A063,CVE-2026-5259,9.1,Critical,0.93,False,2025-10-05,167,False
V0069,A077,CVE-2023-51044,9.4,Critical,0.57,False,2025-08-19,402,False
V0070,A002,CVE-2024-21910,6.7,High,0.27,False,2026-08-26,302,True
V0071,A087,CVE-2025-53185,6.6,High,0.7,False,2025-02-28,332,True
V0072,A096,CVE-2026-44033,4.7,Medium,0.47,False,2025-07-23,166,False
V0073,A022,CVE-2023-6701,5.6,Medium,0.23,False,2025-06-08,79,True
V0074,A143,CVE-2024-29262,7.4,High,0.62,False,2025-05-23,201,False
V0075,A037,CVE-2025-42040,9.2,Critical,0.39,False,2024-03-20,209,True
V0076,A012,CVE-2026-94212,6.0,Medium,0.61,False,2024-11-02,133,False
V0077,A022,CVE-2023-98196,6.9,High,0.79,False,2025-08-26,217,True
V0078,A033,CVE-2024-13572,7.4,High,0.62,False,2026-03-13,230,True
V0079,A078,CVE-2025-45905,9.3,Critical,0.72,False,2024-07-17,29,True
V0080,A098,CVE-2026-63682,7.4,High,0.51,False,2025-08-16,240,True
V0081,A116,CVE-2023-75432,6.6,High,0.36,False,2026-08-05,91,True
V0082,A132,CVE-2024-22305,6.6,High,0.23,True,2026-04-10,234,True
V0083,A138,CVE-2025-28720,8.1,Critical,0.29,False,2025-10-28,140,True
V0084,A139,CVE-2026-2554,9.7,Critical,0.15,True,2026-04-17,324,True
V0085,A085,CVE-2023-37230,8.1,Critical,0.26,False,2024-02-18,253,True
V0086,A106,CVE-2024-92555,5.0,Medium,0.59,False,2025-01-26,92,True
V0087,A083,CVE-2025-66224,8.6,Critical,0.9,False,2024-12-22,32,False
V0088,A097,CVE-2026-57738,5.5,Medium,0.12,False,2026-05-18,88,True
V0089,A117,CVE-2023-20883,8.2,Critical,0.15,False,2024-02-25,298,False
V0090,A142,CVE-2024-94406,7.4,High,0.55,False,2024-11-10,74,False
V0091,A032,CVE-2025-71154,7.8,High,0.16,False,2025-09-30,16,False
V0092,A086,CVE-2026-84161,4.4,Medium,0.86,True,2026-04-13,25,False
V0093,A132,CVE-2023-29093,7.9,High,0.52,True,2025-05-24,50,True
V0094,A066,CVE-2024-80435,8.7,Critical,0.21,False,2024-02-06,80,False
V0095,A045,CVE-2025-81606,8.5,Critical,0.36,False,2024-08-23,391,False
V0096,A129,CVE-2026-94210,8.3,Critical,0.53,True,2025-08-08,191,True
V0097,A081,CVE-2023-37932,6.7,High,0.46,False,2024-08-12,46,False
V0098,A143,CVE-2024-10528,4.2,Medium,0.92,False,2026-06-26,388,True
V0099,A101,CVE-2025-22871,5.1,Medium,0.21,False,2024-07-19,170,True
V0100,A091,CVE-2026-68462,6.2,High,0.5,False,2025-08-03,97,True
V0101,A093,CVE-2023-45631,7.0,High,0.73,False,2024-09-02,5,False
V0102,A114,CVE-2024-5257,7.8,High,0.8,False,2026-03-02,209,True
V0103,A150,CVE-2025-84797,8.3,Critical,0.26,False,2026-02-26,168,True
V0104,A048,CVE-2026-56783,7.0,High,0.44,False,2025-08-26,309,True
V0105,A015,CVE-2023-17392,9.3,Critical,0.58,False,2025-06-13,107,True
V0106,A046,CVE-2024-14529,9.7,Critical,0.46,True,2024-07-15,37,True
V0107,A120,CVE-2025-70531,4.6,Medium,0.13,False,2026-08-21,338,True
V0108,A042,CVE-2026-36001,9.6,Critical,0.33,True,2026-01-23,222,True
V0109,A099,CVE-2023-29761,8.2,Critical,0.2,False,2025-02-27,276,True
V0110,A102,CVE-2024-52553,6.8,High,0.81,False,2025-09-09,131,False
V0111,A111,CVE-2025-5587,5.2,Medium,0.82,False,2025-06-03,186,True
V0112,A088,CVE-2026-32991,6.1,High,0.66,False,2025-08-20,407,True
V0113,A021,CVE-2023-40504,9.7,Critical,0.73,False,2024-03-16,118,True
V0114,A035,CVE-2024-22033,8.4,Critical,0.7,False,2025-06-26,152,True
V0115,A103,CVE-2025-90613,7.2,High,0.24,True,2026-07-18,189,True
V0116,A007,CVE-2026-28434,8.4,Critical,0.69,True,2024-10-17,367,True
V0117,A102,CVE-2023-22300,9.4,Critical,0.8,False,2025-09-16,165,True
V0118,A046,CVE-2024-23171,7.7,High,0.59,False,2025-02-21,129,True
V0119,A086,CVE-2025-71235,6.9,High,0.92,False,2026-06-13,165,False
